nome,carga_horaria,data_inicio,data_termino
Finanças Pessoais: Planejamento e Controle,53,2022-11-18,2024-02-12
Gestão de Projetos: Metodologia Ágil,166,2023-08-29,2024-07-10
Machine Learning Fundamentals,154,2021-07-13,2022-12-13
Psicologia Positiva: Bem-estar e Felicidade,178,2021-01-31,2021-07-21
Fotografia Digital Avançada,138,2020-04-20,2021-07-01
Psicologia Positiva: Bem-estar e Felicidade,27,2020-11-01,2021-08-10
Marketing de Conteúdo para Redes Sociais,137,2020-01-16,2020-10-24
Marketing de Conteúdo para Redes Sociais,233,2020-12-12,2022-02-24
Introdução à Programação em Python,198,2022-09-14,2023-06-03
Finanças Pessoais: Planejamento e Controle,239,2020-01-27,2021-05-18
Empreendedorismo Social: Impacto Positivo na Sociedade,40,2022-11-01,2024-05-22
Introdução à Inteligência Artificial,93,2021-06-27,2022-06-28
Ciência de Dados: Análise e Visualização,169,2023-07-13,2025-07-10
"Desenvolvimento Web com HTML, CSS e JavaScript",78,2020-10-15,2021-10-21
Design Thinking na Prática,89,2021-08-05,2023-06-27
Espanhol Intermediário: Conversação e Gramática,52,2021-08-13,2022-11-22
"Desenvolvimento Web com HTML, CSS e JavaScript",253,2023-11-02,2024-01-16
Marketing Digital: Estratégias para o Sucesso Online,142,2023-11-29,2025-03-20
Ciência de Dados: Análise e Visualização,214,2022-06-09,2023-08-27
Fotografia Digital Avançada,91,2021-06-03,2021-12-22
Psicologia Positiva: Bem-estar e Felicidade,163,2021-10-19,2022-09-18
"Desenvolvimento Web com HTML, CSS e JavaScript",293,2023-11-05,2024-01-26
Introdução à Programação em Python,224,2021-06-10,2021-09-11
Design Thinking na Prática,248,2021-03-19,2021-10-17
Design Thinking na Prática,290,2020-01-06,2020-08-02
Empreendedorismo Social: Impacto Positivo na Sociedade,257,2022-07-18,2024-03-28
Introdução à Inteligência Artificial,135,2022-10-31,2023-12-29
Espanhol Intermediário: Conversação e Gramática,88,2023-03-13,2024-01-21
Psicologia Positiva: Bem-estar e Felicidade,144,2023-04-13,2024-09-21
Ciência de Dados: Análise e Visualização,96,2021-02-26,2023-01-15
"Desenvolvimento Web com HTML, CSS e JavaScript",156,2022-02-02,2023-07-28
Empreendedorismo Social: Impacto Positivo na Sociedade,77,2021-11-11,2022-06-01
Marketing de Conteúdo para Redes Sociais,86,2023-03-29,2024-07-27
Inglês para Negócios,256,2022-10-10,2022-12-11
Gestão de Projetos: Metodologia Ágil,96,2021-01-20,2022-10-09
Finanças Pessoais: Planejamento e Controle,66,2023-12-10,2025-05-26
"Desenvolvimento Web com HTML, CSS e JavaScript",228,2023-03-12,2025-01-19
Espanhol Intermediário: Conversação e Gramática,218,2020-08-01,2021-06-13
Machine Learning Fundamentals,119,2022-07-23,2022-12-05
Finanças Pessoais: Planejamento e Controle,244,2021-07-16,2022-04-30
Psicologia Positiva: Bem-estar e Felicidade,249,2021-12-14,2022-02-18
Ciência de Dados: Análise e Visualização,186,2021-07-16,2022-01-08
Espanhol Intermediário: Conversação e Gramática,168,2021-04-06,2022-01-13
"Desenvolvimento Web com HTML, CSS e JavaScript",132,2022-11-03,2024-08-16
"Desenvolvimento Web com HTML, CSS e JavaScript",117,2022-06-21,2024-06-13
Marketing de Conteúdo para Redes Sociais,168,2022-05-09,2022-09-21
"Desenvolvimento Web com HTML, CSS e JavaScript",146,2021-09-04,2022-07-28
Introdução à Programação em Python,140,2021-02-28,2022-12-13
Gestão de Projetos: Metodologia Ágil,246,2023-10-03,2025-01-20
Introdução à Inteligência Artificial,192,2023-07-05,2023-09-16
